acc,gyro
1.11972,0.29489
1.10941,0.35828
1.1688,0.43315
1.25237,0.57088
1.16838,0.72265
1.08618,0.8073
1.12305,0.83094
1.11598,0.85727
1.13148,0.86206
1.0202,0.83413
0.9127,0.82569
0.85863,0.8498
0.79386,0.82747
0.72143,0.77979
0.74922,0.7135
0.72731,0.63599
0.80835,0.59938
0.82723,0.59828
0.84128,0.60644
0.90132,0.61139
0.97759,0.62581
1.00837,0.64808
1.03594,0.65724
1.07289,0.63466
1.14745,0.58518
1.21335,0.5312
1.23202,0.48567
1.22708,0.44782
1.18589,0.41528
1.13727,0.38265
1.10651,0.34978
1.09645,0.30509
1.09145,0.25403
1.08205,0.20219
1.05296,0.13963
1.08332,0.14053
1.08181,0.11194
1.06012,0.02817
1.04605,0.07256
0.97843,0.0861
0.97212,0.08705
0.98837,0.09719
0.95406,0.09719
0.94983,0.09548
0.96516,0.09762
1.01739,0.10201
1.00735,0.10259
0.99532,0.09892
0.99146,0.09599
0.98942,0.09531
0.98619,0.0931
0.99481,0.0946
1.00054,0.09574
0.99891,0.09346
0.99686,0.0887
1.01661,0.08333
1.0174,0.07625
1.01089,0.07022
1.01198,0.06413
1.01156,0.06208
1.02593,0.0595
1.01687,0.05824
1.0008,0.06195
0.98669,0.06045
0.97236,0.05801
0.97527,0.05765
0.97412,0.05785
0.98631,0.05762
0.99438,0.05584
0.99788,0.05141
1.022,0.04899
1.0279,0.04543
1.01998,0.04515
1.01224,0.04655
1.02505,0.05461
1.0367,0.06235
1.00749,0.07066
1.00796,0.0706
1.0035,0.06912
1.02927,0.06783
1.04931,0.0769
1.04512,0.0903
1.00564,0.10004
0.99084,0.10119
1.01178,0.10529
1.0005,0.11525
0.99993,0.13009
1.05935,0.14405
1.10589,0.15649
1.10474,0.17322
1.11522,0.19521
1.13915,0.20835
1.19792,0.22461
1.17278,0.25211
1.13504,0.28207
1.21313,0.32883
1.20282,0.40502
1.05254,0.40543
1.12291,0.39233
1.25442,0.40588
1.18893,0.41944
1.04913,0.37931
1.02065,0.35262
1.03741,0.32004
0.8002,0.29487
0.58222,0.31821
0.5772,0.29572
0.53246,0.23435
0.54607,0.25998
0.61278,0.33479
0.62901,0.39726
0.69937,0.45027
0.82792,0.50412
0.92954,0.55564
1.00748,0.59215
1.14803,0.62244
1.26245,0.64455
1.38644,0.66314
1.48477,0.67738
1.56454,0.69435
1.60219,0.70688
1.64442,0.68336
1.56552,0.61338
1.47629,0.54087
1.44938,0.44846
1.39621,0.31361
1.30859,0.17213
1.23933,0.12871
1.24513,0.19256
1.4025,0.24441
1.8049,0.17705
1.40939,0.20297
1.48857,0.31349
1.34034,0.31454
1.03926,0.29605
0.83412,0.27696
0.95196,0.21659
0.9724,0.15983
0.96815,0.14974
1.0148,0.12755
1.0457,0.11841
1.03299,0.13667
1.0273,0.13012
1.04024,0.09756
1.03363,0.0888
1.02484,0.08308
1.0475,0.08124
1.00885,0.08461
0.95884,0.08808
0.97147,0.0894
0.96777,0.08958
0.99367,0.0919
0.98696,0.0956
0.99115,0.09303
1.00617,0.08919
1.04433,0.08903
1.05442,0.09548
1.02953,0.10569
1.01506,0.11671
1.0436,0.12099
1.04732,0.12454
1.04007,0.12687
1.0265,0.1303
1.02502,0.13358
1.0243,0.1462
1.06727,0.16754
1.0861,0.19468
1.12835,0.22128
1.21081,0.24666
1.28901,0.27139
1.29314,0.2974
1.30708,0.32489
1.38743,0.35477
1.39024,0.40401
1.29303,0.41776
1.07021,0.39433
1.26963,0.40247
1.3128,0.39321
1.13199,0.35426
0.90623,0.32546
0.91623,0.29933
0.72939,0.23449
0.6284,0.21108
0.52683,0.17611
0.44066,0.15229
0.47254,0.205
0.50596,0.28411
0.5376,0.35538
0.59293,0.42379
0.71387,0.49299
0.86334,0.55297
0.96388,0.59891
1.0625,0.62934
1.17241,0.65793
1.32972,0.68749
1.44158,0.70981
1.58259,0.73363
1.69742,0.75011
1.76465,0.74944
1.75713,0.71662
1.66298,0.59863
1.59229,0.49402
1.65545,0.3762
1.61213,0.19447
1.50352,0.10747
1.32497,0.27002
2.0368,0.26378
1.71405,0.32023
2.00411,0.44955
1.50767,0.36424
1.35155,0.33247
1.02881,0.3533
0.82453,0.35453
0.93111,0.22577
0.94745,0.21861
1.11724,0.19463
1.13706,0.17879
1.09392,0.15945
1.01244,0.13855
1.00981,0.12875
1.01616,0.10322
1.0357,0.09692
1.03519,0.10401
1.00949,0.11119
0.99754,0.11495
0.99808,0.117
0.99586,0.11768
0.99023,0.11867
0.97974,0.11732
1.0013,0.11431
1.02695,0.11061
1.04252,0.10728
1.04908,0.10792
1.04207,0.10803
1.04229,0.10919
1.03692,0.11325
1.02957,0.12054
0.99804,0.12728
0.98601,0.13349
0.99217,0.14342
1.0186,0.15853
1.03792,0.17986
1.03738,0.20438
1.13005,0.22575
1.19754,0.23884
1.21058,0.25101
1.21056,0.2668
1.23821,0.28726
1.25327,0.31316
1.24946,0.35185
1.23186,0.413
1.15666,0.41311
1.14999,0.38995
1.32838,0.40686
1.20082,0.41288
0.99275,0.38826
0.96214,0.34994
0.98128,0.32882
0.70894,0.34846
0.56386,0.34628
0.51041,0.27617
0.50834,0.21722
0.51434,0.26323
0.56726,0.33662
0.6398,0.4002
0.69269,0.45918
0.83291,0.51818
0.96805,0.56439
1.02836,0.59398
1.12065,0.62492
1.2281,0.65149
1.32352,0.66547
1.39344,0.67971
1.50977,0.69975
1.60211,0.70235
1.65455,0.68203
1.62953,0.64193
1.59105,0.57454
1.48712,0.47539
1.35585,0.39342
1.28039,0.27841
1.19068,0.13158
1.08925,0.09738
1.01054,0.21309
1.53632,0.27852
1.92923,0.32637
1.90386,0.47583
1.4816,0.40047
1.25726,0.2973
1.43148,0.37247
1.10882,0.38383
1.17077,0.25247
0.92725,0.32254
0.97168,0.3085
1.02355,0.21227
1.15132,0.20715
1.04459,0.17423
0.9768,0.16056
1.03603,0.14364
1.01921,0.1354
1.04689,0.12868
1.06344,0.12571
1.04346,0.12838
1.03984,0.126
1.00218,0.12322
0.98074,0.11537
0.95036,0.10706
0.96979,0.10076
0.97304,0.1008
0.97735,0.10457
0.95346,0.1034
0.97764,0.09554
0.98668,0.08677
0.98163,0.08633
0.97679,0.09294
0.99718,0.09584
1.01129,0.10019
0.9867,0.10868
0.99177,0.11505
0.97584,0.11955
0.95728,0.13198
0.96971,0.13749
0.98055,0.13959
0.99791,0.15296
1.02091,0.16193
1.05042,0.16265
1.04358,0.16207
1.01118,0.19557
1.08404,0.25803
1.16305,0.29614
1.14759,0.33678
1.0648,0.40263
1.00629,0.47847
0.93822,0.55217
0.90446,0.63044
0.92012,0.69981
0.92068,0.74924
0.90331,0.79827
0.88739,0.84982
0.88868,0.90443
0.90853,0.95673
0.97545,0.99097
1.05919,1.00174
1.14649,0.97291
1.17749,0.86864
1.18744,0.72682
1.11983,0.60254
1.08548,0.50627
1.05926,0.426
0.98954,0.39185
0.95726,0.38006
0.95628,0.38238
1.01949,0.37229
0.99866,0.33707
0.98437,0.31354
1.00823,0.33537
1.02573,0.37437
1.01706,0.42113
1.03478,0.46732
1.02655,0.47741
1.00542,0.44973
