acc,gyro
1.0292,0.11646
1.03302,0.09676
0.99553,0.06729
1.00821,0.05939
1.02072,0.04656
0.98727,0.03891
1.06741,0.12966
1.07054,0.14195
1.08025,0.15583
1.08682,0.17005
1.11947,0.1843
1.12237,0.19355
1.13229,0.19833
1.13197,0.1934
1.1133,0.2
0.98511,0.20709
1.02304,0.21097
1.00972,0.19425
0.78648,0.13248
0.65677,0.07125
0.68762,0.07541
0.6917,0.14244
0.72155,0.22105
0.77746,0.29304
0.84288,0.35899
0.91161,0.41367
0.99793,0.45742
1.09438,0.49509
1.17757,0.52814
1.25383,0.55059
1.31906,0.56092
1.36161,0.56178
1.39175,0.55903
1.36574,0.54606
1.32638,0.51287
1.2673,0.46424
1.18811,0.41321
1.13683,0.36173
1.05127,0.28303
1.05106,0.1805
0.97475,0.07902
0.91725,0.07573
0.97174,0.14518
1.1637,0.18968
1.37118,0.15064
1.14201,0.15753
1.37098,0.20815
1.26189,0.23234
1.17135,0.25659
1.10116,0.25197
0.92864,0.24235
0.94166,0.22351
0.97532,0.20769
0.94779,0.19021
0.97669,0.17494
1.04501,0.17059
1.05731,0.15737
1.02865,0.12755
1.02801,0.1095
1.0046,0.09008
1.02384,0.07134
1.02829,0.06256
1.0222,0.06385
0.99108,0.05911
0.97189,0.05492
0.9846,0.0603
1.01799,0.06819
0.98966,0.0672
1.00204,0.07123
1.03488,0.08497
1.01102,0.0922
0.9931,0.08474
0.99782,0.07531
1.01131,0.0796
1.03226,0.08177
1.05814,0.08032
1.0362,0.09055
1.00286,0.1021
0.95594,0.1071
0.96951,0.11059
1.02662,0.11781
1.08677,0.12301
1.09865,0.13369
1.07848,0.14661
1.10344,0.16369
1.21002,0.1922
1.34933,0.2543
1.37966,0.2896
1.32394,0.29845
1.18969,0.3023
1.12296,0.26825
1.15193,0.20979
0.93538,0.19762
0.96992,0.18167
0.66919,0.1636
0.35466,0.16999
0.43934,0.19676
0.42965,0.20909
0.41166,0.24405
0.46623,0.30933
0.5421,0.37841
0.63258,0.43553
0.87639,0.47478
1.05547,0.5068
1.26899,0.51065
1.36173,0.49612
1.32749,0.45905
1.19869,0.40111
1.20344,0.35024
1.21493,0.32706
1.02779,0.33721
0.86856,0.35243
0.86058,0.36797
0.92117,0.37123
0.89247,0.24354
1.41249,0.41952
1.90842,0.40767
1.79612,0.35535
1.3548,0.28354
1.37325,0.35982
1.48623,0.30942
1.4095,0.19307
1.21526,0.14641
1.64522,0.11879
1.58501,0.10574
1.09118,0.09809
0.99731,0.03456
1.01278,0.05047
1.03078,0.06694
0.97776,0.0436
0.95967,0.03977
0.96281,0.05051
0.95511,0.06445
0.96066,0.07276
0.96317,0.07715
0.98198,0.09028
0.98452,0.11179
1.00544,0.13844
0.99221,0.15112
1.00161,0.16908
1.01276,0.19307
0.9767,0.21531
1.04017,0.22465
0.98415,0.22888
0.99967,0.23602
0.99108,0.24837
0.95422,0.26309
0.87654,0.26592
1.05377,0.25664
1.17173,0.28166
1.37194,0.33269
1.66201,0.39202
2.07266,0.4595
2.23872,0.54801
1.8928,0.59382
1.21233,0.52963
0.97496,0.38916
0.62265,0.35616
0.87305,0.29952
0.67843,0.17784
0.33346,0.04196
0.1894,0.22578
0.10922,0.3452
0.15028,0.42122
0.27686,0.48842
0.4555,0.54359
0.64125,0.57643
0.77975,0.58923
0.9316,0.5956
1.00232,0.59769
1.11345,0.60185
1.2137,0.60072
1.25679,0.58972
1.27052,0.57444
1.26541,0.55578
1.35409,0.53831
1.39943,0.50709
1.2826,0.46147
1.27476,0.39836
1.27693,0.32422
1.17998,0.24713
1.02422,0.18102
0.88247,0.15731
0.78332,0.18781
0.77257,0.23827
0.82604,0.26687
0.79954,0.28723
0.82898,0.3207
0.74505,0.34548
2.0856,0.34453
1.79392,0.34999
2.55925,0.33141
1.71853,0.32626
1.79601,0.37123
1.65874,0.35857
1.52359,0.21274
1.46479,0.18383
1.17236,0.15748
1.0941,0.12543
0.97666,0.06773
0.93401,0.03367
0.97926,0.0427
1.01164,0.05441
1.00684,0.06148
1.0256,0.06057
1.01151,0.04996
0.94547,0.03791
0.94371,0.03127
0.94172,0.02193
0.95137,0.02425
0.97877,0.03264
0.96766,0.04775
0.9524,0.06782
0.95118,0.0935
1.0511,0.12123
1.09467,0.14023
1.04165,0.16552
1.04305,0.18959
1.00285,0.21742
0.88926,0.2415
0.89419,0.24217
0.96925,0.23864
1.01888,0.23542
1.03576,0.26376
1.05202,0.28243
1.12578,0.31068
1.19291,0.35406
1.61076,0.39715
1.92498,0.45477
2.26406,0.53594
2.04905,0.59217
1.35318,0.57001
0.80897,0.44587
0.90472,0.33632
0.84207,0.25236
0.78253,0.24748
0.59749,0.20747
0.37741,0.08453
0.27523,0.24432
0.24902,0.42894
0.29065,0.48176
0.35589,0.49947
0.52843,0.52548
0.71058,0.55165
0.83997,0.57811
0.93945,0.59998
1.02302,0.61878
1.14839,0.63397
1.21432,0.63747
1.35187,0.62703
1.58665,0.60507
1.62062,0.57486
1.54726,0.53445
1.54008,0.47065
1.42037,0.41728
1.31272,0.35949
1.23002,0.31321
1.18035,0.28305
1.11319,0.25924
1.01379,0.22895
0.93506,0.19584
0.89751,0.16069
0.84737,0.13035
0.84352,0.16277
0.79611,0.23661
0.75778,0.2815
